,Indonesia (IDR),Malaysia (MYR),Thailand (THB),Filipina (PHP)
Ticker,IDRUSD=X,MYRUSD=X,THBUSD=X,PHPUSD=X
Date,,,,
2001-06-28,8.73515018611215e-05,,,
2001-06-29,8.7796310253907e-05,,,
2001-07-02,8.833922038320452e-05,,,
2001-07-03,8.832362073007971e-05,,,
2001-07-04,8.798944327281788e-05,,,
2001-07-05,8.80514198797755e-05,,,
2001-07-06,8.826125122141093e-05,,,
2001-07-09,8.826125122141093e-05,,,
2001-07-10,8.809020073385909e-05,,,
2001-07-11,8.818342030281201e-05,,,
2001-07-12,8.802816591924056e-05,,,
2001-07-13,8.826125122141093e-05,,,
2001-07-16,8.818342030281201e-05,,,
2001-07-17,8.822231757221743e-05,,,
2001-07-18,8.869179873727262e-05,,,
2001-07-19,8.889679156709462e-05,,,
2001-07-20,8.97666031960398e-05,,,
2001-07-23,8.97666031960398e-05,,,
2001-07-26,9.95024893200025e-05,,,
2001-07-27,9.95024893200025e-05,,,
2001-07-30,0.00010303966701030731,,,
2001-07-31,0.00010526315600145608,,,
2001-08-01,0.00010389610542915761,,,
2001-08-02,0.00010389610542915761,,,
2001-08-03,0.00010531859152251855,,,
2001-08-06,0.00010649627074599266,,,
2001-08-07,0.00010689470946090296,,,
2001-08-08,0.00010723860759753734,,,
2001-08-09,0.00010863661009352654,,,
2001-08-10,0.00010976948397001252,,,
2001-08-13,0.00011682243348332122,,,
2001-08-14,0.0001182732084998861,,,
2001-08-15,0.00011396011541364715,,,
2001-08-16,0.00011402508243918419,,,
2001-08-17,0.00011428571451688185,,,
2001-08-20,0.00011730205005733296,,,
2001-08-21,0.00011705490032909438,,,
2001-08-22,0.00011607661144807935,,,
2001-08-23,0.00011461318354122341,,,
2001-08-24,0.00011500862456159666,,,
2001-08-27,0.00011448196892160922,,,
2001-08-28,0.00011074197391280904,,,
2001-08-29,0.00010928962001344189,,,
2001-08-30,0.00011210762022528797,,,
2001-08-31,0.00011282861669315025,,,
2001-09-03,0.000111259454570245,,,
2001-09-04,0.00011123470176244155,,,
2001-09-05,0.00011055832146666944,,,
2001-09-06,0.00011111111234640703,,,
2001-09-07,0.00010928962001344189,,,
2001-09-10,0.00011019283556379378,,,
2001-09-11,0.00011001100210705772,,,
2001-09-12,0.00011061946861445904,,,
2001-09-13,0.00010985389235429466,,,
2001-09-14,0.00010976948397001252,,,
2001-09-17,0.00010735372779890895,,,
2001-09-18,0.00010443864448461682,,,
2001-09-19,0.00010411244147690013,,,
2001-09-20,0.00010587612632662058,,,
2001-09-21,0.00010621349065331742,,,
2001-09-24,0.0001057641493389383,,,
2001-09-25,0.00010506408580113202,,,
2001-09-26,0.0001037882684613578,,,
2001-09-27,0.0001033805456245318,,,
2001-09-28,0.00010300782741978765,,,
2001-10-02,9.95024893200025e-05,,,
2001-10-04,0.00010282776202075183,,,
2001-10-05,0.00010136847413377836,,,
2001-10-08,9.839614358497784e-05,,,
2001-10-09,9.999999747378752e-05,,,
2001-10-10,0.00010015022417064756,,,
2001-10-11,0.00010062386718345806,,,
2001-10-12,0.00010030090197687969,,,
2001-10-15,0.00010035122977569699,,,
2001-10-16,9.999999747378752e-05,,,
2001-10-17,9.987016528612003e-05,,,
2001-10-18,9.965121716959402e-05,,,
2001-10-19,9.910803055390716e-05,,,
2001-10-22,9.888262866297737e-05,,,
2001-10-23,9.832841897150502e-05,,,
2001-10-24,9.775171201908961e-05,,,
2001-10-25,9.74184149526991e-05,,,
2001-10-26,9.746589057613164e-05,,,
2001-10-29,9.737098298501223e-05,,,
2001-10-30,9.61538462433964e-05,,,
2001-10-31,9.546539513394237e-05,,,
2001-11-01,9.50118774198927e-05,,,
2001-11-02,9.367681195726618e-05,,,
2001-11-05,9.153318387689069e-05,,,
2001-11-06,9.22934923437424e-05,,,
2001-11-08,9.551098628435284e-05,,,
2001-11-09,9.606147796148434e-05,,,
2001-11-12,9.42418264457956e-05,,,
2001-11-13,9.365049481857568e-05,,,
2001-11-14,9.394082007929683e-05,,,
2001-11-15,9.411764767719433e-05,,,
2001-11-16,9.426847827853635e-05,,,
2001-11-19,9.465215407544747e-05,,,
2001-11-20,9.49216919252649e-05,,,
2001-11-21,9.592326387064531e-05,,,
2001-11-22,9.47867301874794e-05,,,
2001-11-23,9.528346708975732e-05,,,
2001-11-26,9.638554183766246e-05,,,
2001-11-27,9.621860954212025e-05,,,
2001-11-28,9.606147796148434e-05,,,
2001-11-29,9.604302613297477e-05,,,
2001-11-30,9.569378016749397e-05,,,
2001-12-03,9.564801439410076e-05,,,
2001-12-04,9.551098628435284e-05,,,
2001-12-05,9.551098628435284e-05,,,
2001-12-06,9.61538462433964e-05,,,
2001-12-07,9.647853585192934e-05,,,
2001-12-10,9.765625145519152e-05,,,
2001-12-11,9.83767822617665e-05,,,
2001-12-12,9.9750621302519e-05,,,
2001-12-13,9.891196532407776e-05,,,
2001-12-14,9.808730101212859e-05,,,
2001-12-17,9.808730101212859e-05,,,
2001-12-18,9.847366163739935e-05,,,
2001-12-19,9.905893966788426e-05,,,
2001-12-20,9.883376333164051e-05,,,
2001-12-21,9.81354241957888e-05,,,
2001-12-27,9.638554183766246e-05,,,
2001-12-28,9.564801439410076e-05,,,
2002-01-02,9.601536294212565e-05,,,
2002-01-03,9.638554183766246e-05,,,
2002-01-04,9.589566616341472e-05,,,
2002-01-07,9.62463891482912e-05,,,
2002-01-08,9.594166476745158e-05,,,
2002-01-09,9.596929157851264e-05,,,
2002-01-10,9.587727981852368e-05,,,
2002-01-11,9.590486297383904e-05,,,
2002-01-14,9.610764391254634e-05,,,
2002-01-15,9.621860954212025e-05,,,
2002-01-16,9.628346015233546e-05,,,
2002-01-17,9.619084448786452e-05,,,
2002-01-18,9.619084448786452e-05,,,
2002-01-21,9.629272972233593e-05,,,
2002-01-22,9.619084448786452e-05,,,
2002-01-23,9.61538462433964e-05,,,
2002-01-24,9.629272972233593e-05,,,
